Datation;Date_Format_1;Jour;Mois;Semaine;Annee;Semaine_Format_2;Trimestre
12/10/2024;20241012;Samedi;Octobre;S41;2024;2024-Sem41;2024 - T4
13/10/2024;20241013;Dimanche;Octobre;S41;2024;2024-Sem41;2024 - T4
14/10/2024;20241014;Lundi;Octobre;S42;2024;2024-Sem42;2024 - T4
15/10/2024;20241015;Mardi;Octobre;S42;2024;2024-Sem42;2024 - T4
16/10/2024;20241016;Mercredi;Octobre;S42;2024;2024-Sem42;2024 - T4
17/10/2024;20241017;Jeudi;Octobre;S42;2024;2024-Sem42;2024 - T4
18/10/2024;20241018;Vendredi;Octobre;S42;2024;2024-Sem42;2024 - T4
19/10/2024;20241019;Samedi;Octobre;S42;2024;2024-Sem42;2024 - T4
20/10/2024;20241020;Dimanche;Octobre;S42;2024;2024-Sem42;2024 - T4
21/10/2024;20241021;Lundi;Octobre;S43;2024;2024-Sem43;2024 - T4
22/10/2024;20241022;Mardi;Octobre;S43;2024;2024-Sem43;2024 - T4
23/10/2024;20241023;Mercredi;Octobre;S43;2024;2024-Sem43;2024 - T4
24/10/2024;20241024;Jeudi;Octobre;S43;2024;2024-Sem43;2024 - T4
25/10/2024;20241025;Vendredi;Octobre;S43;2024;2024-Sem43;2024 - T4
26/10/2024;20241026;Samedi;Octobre;S43;2024;2024-Sem43;2024 - T4
27/10/2024;20241027;Dimanche;Octobre;S43;2024;2024-Sem43;2024 - T4
28/10/2024;20241028;Lundi;Octobre;S44;2024;2024-Sem44;2024 - T4
29/10/2024;20241029;Mardi;Octobre;S44;2024;2024-Sem44;2024 - T4
30/10/2024;20241030;Mercredi;Octobre;S44;2024;2024-Sem44;2024 - T4
31/10/2024;20241031;Jeudi;Octobre;S44;2024;2024-Sem44;2024 - T4
01/11/2024;20241101;Vendredi;Novembre;S44;2024;2024-Sem44;2024 - T4
02/11/2024;20241102;Samedi;Novembre;S44;2024;2024-Sem44;2024 - T4
03/11/2024;20241103;Dimanche;Novembre;S44;2024;2024-Sem44;2024 - T4
04/11/2024;20241104;Lundi;Novembre;S45;2024;2024-Sem45;2024 - T4
05/11/2024;20241105;Mardi;Novembre;S45;2024;2024-Sem45;2024 - T4
06/11/2024;20241106;Mercredi;Novembre;S45;2024;2024-Sem45;2024 - T4
07/11/2024;20241107;Jeudi;Novembre;S45;2024;2024-Sem45;2024 - T4
08/11/2024;20241108;Vendredi;Novembre;S45;2024;2024-Sem45;2024 - T4
09/11/2024;20241109;Samedi;Novembre;S45;2024;2024-Sem45;2024 - T4
10/11/2024;20241110;Dimanche;Novembre;S45;2024;2024-Sem45;2024 - T4
11/11/2024;20241111;Lundi;Novembre;S46;2024;2024-Sem46;2024 - T4
12/11/2024;20241112;Mardi;Novembre;S46;2024;2024-Sem46;2024 - T4
13/11/2024;20241113;Mercredi;Novembre;S46;2024;2024-Sem46;2024 - T4
14/11/2024;20241114;Jeudi;Novembre;S46;2024;2024-Sem46;2024 - T4
15/11/2024;20241115;Vendredi;Novembre;S46;2024;2024-Sem46;2024 - T4
16/11/2024;20241116;Samedi;Novembre;S46;2024;2024-Sem46;2024 - T4
17/11/2024;20241117;Dimanche;Novembre;S46;2024;2024-Sem46;2024 - T4
18/11/2024;20241118;Lundi;Novembre;S47;2024;2024-Sem47;2024 - T4
19/11/2024;20241119;Mardi;Novembre;S47;2024;2024-Sem47;2024 - T4
20/11/2024;20241120;Mercredi;Novembre;S47;2024;2024-Sem47;2024 - T4
21/11/2024;20241121;Jeudi;Novembre;S47;2024;2024-Sem47;2024 - T4
22/11/2024;20241122;Vendredi;Novembre;S47;2024;2024-Sem47;2024 - T4
23/11/2024;20241123;Samedi;Novembre;S47;2024;2024-Sem47;2024 - T4
24/11/2024;20241124;Dimanche;Novembre;S47;2024;2024-Sem47;2024 - T4
25/11/2024;20241125;Lundi;Novembre;S48;2024;2024-Sem48;2024 - T4
26/11/2024;20241126;Mardi;Novembre;S48;2024;2024-Sem48;2024 - T4
27/11/2024;20241127;Mercredi;Novembre;S48;2024;2024-Sem48;2024 - T4
28/11/2024;20241128;Jeudi;Novembre;S48;2024;2024-Sem48;2024 - T4
29/11/2024;20241129;Vendredi;Novembre;S48;2024;2024-Sem48;2024 - T4
30/11/2024;20241130;Samedi;Novembre;S48;2024;2024-Sem48;2024 - T4
01/12/2024;20241201;Dimanche;Décembre;S48;2024;2024-Sem48;2024 - T4
02/12/2024;20241202;Lundi;Décembre;S49;2024;2024-Sem49;2024 - T4
03/12/2024;20241203;Mardi;Décembre;S49;2024;2024-Sem49;2024 - T4
04/12/2024;20241204;Mercredi;Décembre;S49;2024;2024-Sem49;2024 - T4
05/12/2024;20241205;Jeudi;Décembre;S49;2024;2024-Sem49;2024 - T4
06/12/2024;20241206;Vendredi;Décembre;S49;2024;2024-Sem49;2024 - T4
07/12/2024;20241207;Samedi;Décembre;S49;2024;2024-Sem49;2024 - T4
08/12/2024;20241208;Dimanche;Décembre;S49;2024;2024-Sem49;2024 - T4
09/12/2024;20241209;Lundi;Décembre;S50;2024;2024-Sem50;2024 - T4
10/12/2024;20241210;Mardi;Décembre;S50;2024;2024-Sem50;2024 - T4
11/12/2024;20241211;Mercredi;Décembre;S50;2024;2024-Sem50;2024 - T4
12/12/2024;20241212;Jeudi;Décembre;S50;2024;2024-Sem50;2024 - T4
13/12/2024;20241213;Vendredi;Décembre;S50;2024;2024-Sem50;2024 - T4
14/12/2024;20241214;Samedi;Décembre;S50;2024;2024-Sem50;2024 - T4
15/12/2024;20241215;Dimanche;Décembre;S50;2024;2024-Sem50;2024 - T4
16/12/2024;20241216;Lundi;Décembre;S51;2024;2024-Sem51;2024 - T4
17/12/2024;20241217;Mardi;Décembre;S51;2024;2024-Sem51;2024 - T4
18/12/2024;20241218;Mercredi;Décembre;S51;2024;2024-Sem51;2024 - T4
19/12/2024;20241219;Jeudi;Décembre;S51;2024;2024-Sem51;2024 - T4
20/12/2024;20241220;Vendredi;Décembre;S51;2024;2024-Sem51;2024 - T4
21/12/2024;20241221;Samedi;Décembre;S51;2024;2024-Sem51;2024 - T4
22/12/2024;20241222;Dimanche;Décembre;S51;2024;2024-Sem51;2024 - T4
23/12/2024;20241223;Lundi;Décembre;S52;2024;2024-Sem52;2024 - T4
24/12/2024;20241224;Mardi;Décembre;S52;2024;2024-Sem52;2024 - T4
25/12/2024;20241225;Mercredi;Décembre;S52;2024;2024-Sem52;2024 - T4
26/12/2024;20241226;Jeudi;Décembre;S52;2024;2024-Sem52;2024 - T4
27/12/2024;20241227;Vendredi;Décembre;S52;2024;2024-Sem52;2024 - T4
28/12/2024;20241228;Samedi;Décembre;S52;2024;2024-Sem52;2024 - T4
29/12/2024;20241229;Dimanche;Décembre;S52;2024;2024-Sem52;2024 - T4
30/12/2024;20241230;Lundi;Décembre;S01;2024;2024-Sem01;2024 - T4
31/12/2024;20241231;Mardi;Décembre;S01;2024;2024-Sem01;2024 - T4
01/01/2025;20250101;Mercredi;Janvier;S01;2025;2025-Sem01;2025 - T1
02/01/2025;20250102;Jeudi;Janvier;S01;2025;2025-Sem01;2025 - T1
03/01/2025;20250103;Vendredi;Janvier;S01;2025;2025-Sem01;2025 - T1
04/01/2025;20250104;Samedi;Janvier;S01;2025;2025-Sem01;2025 - T1
05/01/2025;20250105;Dimanche;Janvier;S01;2025;2025-Sem01;2025 - T1
06/01/2025;20250106;Lundi;Janvier;S02;2025;2025-Sem02;2025 - T1
07/01/2025;20250107;Mardi;Janvier;S02;2025;2025-Sem02;2025 - T1
08/01/2025;20250108;Mercredi;Janvier;S02;2025;2025-Sem02;2025 - T1
09/01/2025;20250109;Jeudi;Janvier;S02;2025;2025-Sem02;2025 - T1
10/01/2025;20250110;Vendredi;Janvier;S02;2025;2025-Sem02;2025 - T1
11/01/2025;20250111;Samedi;Janvier;S02;2025;2025-Sem02;2025 - T1
12/01/2025;20250112;Dimanche;Janvier;S02;2025;2025-Sem02;2025 - T1
13/01/2025;20250113;Lundi;Janvier;S03;2025;2025-Sem03;2025 - T1
14/01/2025;20250114;Mardi;Janvier;S03;2025;2025-Sem03;2025 - T1
15/01/2025;20250115;Mercredi;Janvier;S03;2025;2025-Sem03;2025 - T1
16/01/2025;20250116;Jeudi;Janvier;S03;2025;2025-Sem03;2025 - T1
17/01/2025;20250117;Vendredi;Janvier;S03;2025;2025-Sem03;2025 - T1
18/01/2025;20250118;Samedi;Janvier;S03;2025;2025-Sem03;2025 - T1
19/01/2025;20250119;Dimanche;Janvier;S03;2025;2025-Sem03;2025 - T1
20/01/2025;20250120;Lundi;Janvier;S04;2025;2025-Sem04;2025 - T1
21/01/2025;20250121;Mardi;Janvier;S04;2025;2025-Sem04;2025 - T1
22/01/2025;20250122;Mercredi;Janvier;S04;2025;2025-Sem04;2025 - T1
23/01/2025;20250123;Jeudi;Janvier;S04;2025;2025-Sem04;2025 - T1
24/01/2025;20250124;Vendredi;Janvier;S04;2025;2025-Sem04;2025 - T1
25/01/2025;20250125;Samedi;Janvier;S04;2025;2025-Sem04;2025 - T1
26/01/2025;20250126;Dimanche;Janvier;S04;2025;2025-Sem04;2025 - T1
27/01/2025;20250127;Lundi;Janvier;S05;2025;2025-Sem05;2025 - T1
28/01/2025;20250128;Mardi;Janvier;S05;2025;2025-Sem05;2025 - T1
29/01/2025;20250129;Mercredi;Janvier;S05;2025;2025-Sem05;2025 - T1
30/01/2025;20250130;Jeudi;Janvier;S05;2025;2025-Sem05;2025 - T1
31/01/2025;20250131;Vendredi;Janvier;S05;2025;2025-Sem05;2025 - T1
01/02/2025;20250201;Samedi;Février;S05;2025;2025-Sem05;2025 - T1
02/02/2025;20250202;Dimanche;Février;S05;2025;2025-Sem05;2025 - T1
03/02/2025;20250203;Lundi;Février;S06;2025;2025-Sem06;2025 - T1
04/02/2025;20250204;Mardi;Février;S06;2025;2025-Sem06;2025 - T1
05/02/2025;20250205;Mercredi;Février;S06;2025;2025-Sem06;2025 - T1
06/02/2025;20250206;Jeudi;Février;S06;2025;2025-Sem06;2025 - T1
07/02/2025;20250207;Vendredi;Février;S06;2025;2025-Sem06;2025 - T1
08/02/2025;20250208;Samedi;Février;S06;2025;2025-Sem06;2025 - T1
09/02/2025;20250209;Dimanche;Février;S06;2025;2025-Sem06;2025 - T1
10/02/2025;20250210;Lundi;Février;S07;2025;2025-Sem07;2025 - T1
11/02/2025;20250211;Mardi;Février;S07;2025;2025-Sem07;2025 - T1
12/02/2025;20250212;Mercredi;Février;S07;2025;2025-Sem07;2025 - T1
13/02/2025;20250213;Jeudi;Février;S07;2025;2025-Sem07;2025 - T1
14/02/2025;20250214;Vendredi;Février;S07;2025;2025-Sem07;2025 - T1
15/02/2025;20250215;Samedi;Février;S07;2025;2025-Sem07;2025 - T1
16/02/2025;20250216;Dimanche;Février;S07;2025;2025-Sem07;2025 - T1
17/02/2025;20250217;Lundi;Février;S08;2025;2025-Sem08;2025 - T1
18/02/2025;20250218;Mardi;Février;S08;2025;2025-Sem08;2025 - T1
19/02/2025;20250219;Mercredi;Février;S08;2025;2025-Sem08;2025 - T1
20/02/2025;20250220;Jeudi;Février;S08;2025;2025-Sem08;2025 - T1
21/02/2025;20250221;Vendredi;Février;S08;2025;2025-Sem08;2025 - T1
22/02/2025;20250222;Samedi;Février;S08;2025;2025-Sem08;2025 - T1
23/02/2025;20250223;Dimanche;Février;S08;2025;2025-Sem08;2025 - T1
24/02/2025;20250224;Lundi;Février;S09;2025;2025-Sem09;2025 - T1
25/02/2025;20250225;Mardi;Février;S09;2025;2025-Sem09;2025 - T1
26/02/2025;20250226;Mercredi;Février;S09;2025;2025-Sem09;2025 - T1
27/02/2025;20250227;Jeudi;Février;S09;2025;2025-Sem09;2025 - T1
28/02/2025;20250228;Vendredi;Février;S09;2025;2025-Sem09;2025 - T1
01/03/2025;20250301;Samedi;Mars;S09;2025;2025-Sem09;2025 - T1
02/03/2025;20250302;Dimanche;Mars;S09;2025;2025-Sem09;2025 - T1
03/03/2025;20250303;Lundi;Mars;S10;2025;2025-Sem10;2025 - T1
04/03/2025;20250304;Mardi;Mars;S10;2025;2025-Sem10;2025 - T1
05/03/2025;20250305;Mercredi;Mars;S10;2025;2025-Sem10;2025 - T1
06/03/2025;20250306;Jeudi;Mars;S10;2025;2025-Sem10;2025 - T1
07/03/2025;20250307;Vendredi;Mars;S10;2025;2025-Sem10;2025 - T1
08/03/2025;20250308;Samedi;Mars;S10;2025;2025-Sem10;2025 - T1
09/03/2025;20250309;Dimanche;Mars;S10;2025;2025-Sem10;2025 - T1
10/03/2025;20250310;Lundi;Mars;S11;2025;2025-Sem11;2025 - T1
11/03/2025;20250311;Mardi;Mars;S11;2025;2025-Sem11;2025 - T1
12/03/2025;20250312;Mercredi;Mars;S11;2025;2025-Sem11;2025 - T1
13/03/2025;20250313;Jeudi;Mars;S11;2025;2025-Sem11;2025 - T1
14/03/2025;20250314;Vendredi;Mars;S11;2025;2025-Sem11;2025 - T1
15/03/2025;20250315;Samedi;Mars;S11;2025;2025-Sem11;2025 - T1
16/03/2025;20250316;Dimanche;Mars;S11;2025;2025-Sem11;2025 - T1
17/03/2025;20250317;Lundi;Mars;S12;2025;2025-Sem12;2025 - T1
18/03/2025;20250318;Mardi;Mars;S12;2025;2025-Sem12;2025 - T1
19/03/2025;20250319;Mercredi;Mars;S12;2025;2025-Sem12;2025 - T1
20/03/2025;20250320;Jeudi;Mars;S12;2025;2025-Sem12;2025 - T1
21/03/2025;20250321;Vendredi;Mars;S12;2025;2025-Sem12;2025 - T1
22/03/2025;20250322;Samedi;Mars;S12;2025;2025-Sem12;2025 - T1
23/03/2025;20250323;Dimanche;Mars;S12;2025;2025-Sem12;2025 - T1
24/03/2025;20250324;Lundi;Mars;S13;2025;2025-Sem13;2025 - T1
25/03/2025;20250325;Mardi;Mars;S13;2025;2025-Sem13;2025 - T1
26/03/2025;20250326;Mercredi;Mars;S13;2025;2025-Sem13;2025 - T1
27/03/2025;20250327;Jeudi;Mars;S13;2025;2025-Sem13;2025 - T1
28/03/2025;20250328;Vendredi;Mars;S13;2025;2025-Sem13;2025 - T1
29/03/2025;20250329;Samedi;Mars;S13;2025;2025-Sem13;2025 - T1
30/03/2025;20250330;Dimanche;Mars;S13;2025;2025-Sem13;2025 - T1
31/03/2025;20250331;Lundi;Mars;S14;2025;2025-Sem14;2025 - T1
01/04/2025;20250401;Mardi;Avril;S14;2025;2025-Sem14;2025 - T2
02/04/2025;20250402;Mercredi;Avril;S14;2025;2025-Sem14;2025 - T2
03/04/2025;20250403;Jeudi;Avril;S14;2025;2025-Sem14;2025 - T2
04/04/2025;20250404;Vendredi;Avril;S14;2025;2025-Sem14;2025 - T2
05/04/2025;20250405;Samedi;Avril;S14;2025;2025-Sem14;2025 - T2
06/04/2025;20250406;Dimanche;Avril;S14;2025;2025-Sem14;2025 - T2
07/04/2025;20250407;Lundi;Avril;S15;2025;2025-Sem15;2025 - T2
08/04/2025;20250408;Mardi;Avril;S15;2025;2025-Sem15;2025 - T2
09/04/2025;20250409;Mercredi;Avril;S15;2025;2025-Sem15;2025 - T2
10/04/2025;20250410;Jeudi;Avril;S15;2025;2025-Sem15;2025 - T2
11/04/2025;20250411;Vendredi;Avril;S15;2025;2025-Sem15;2025 - T2
12/04/2025;20250412;Samedi;Avril;S15;2025;2025-Sem15;2025 - T2
13/04/2025;20250413;Dimanche;Avril;S15;2025;2025-Sem15;2025 - T2
26/08/2023;20230826;Samedi;Août;S34;2023;2023-Sem34;2023 - T3
27/08/2023;20230827;Dimanche;Août;S34;2023;2023-Sem34;2023 - T3
28/08/2023;20230828;Lundi;Août;S35;2023;2023-Sem35;2023 - T3
29/08/2023;20230829;Mardi;Août;S35;2023;2023-Sem35;2023 - T3
30/08/2023;20230830;Mercredi;Août;S35;2023;2023-Sem35;2023 - T3
31/08/2023;20230831;Jeudi;Août;S35;2023;2023-Sem35;2023 - T3
01/09/2023;20230901;Vendredi;Septembre;S35;2023;2023-Sem35;2023 - T3
02/09/2023;20230902;Samedi;Septembre;S35;2023;2023-Sem35;2023 - T3
03/09/2023;20230903;Dimanche;Septembre;S35;2023;2023-Sem35;2023 - T3
04/09/2023;20230904;Lundi;Septembre;S36;2023;2023-Sem36;2023 - T3
05/09/2023;20230905;Mardi;Septembre;S36;2023;2023-Sem36;2023 - T3
06/09/2023;20230906;Mercredi;Septembre;S36;2023;2023-Sem36;2023 - T3
07/09/2023;20230907;Jeudi;Septembre;S36;2023;2023-Sem36;2023 - T3
08/09/2023;20230908;Vendredi;Septembre;S36;2023;2023-Sem36;2023 - T3
09/09/2023;20230909;Samedi;Septembre;S36;2023;2023-Sem36;2023 - T3
10/09/2023;20230910;Dimanche;Septembre;S36;2023;2023-Sem36;2023 - T3
11/09/2023;20230911;Lundi;Septembre;S37;2023;2023-Sem37;2023 - T3
12/09/2023;20230912;Mardi;Septembre;S37;2023;2023-Sem37;2023 - T3
13/09/2023;20230913;Mercredi;Septembre;S37;2023;2023-Sem37;2023 - T3
14/09/2023;20230914;Jeudi;Septembre;S37;2023;2023-Sem37;2023 - T3
15/09/2023;20230915;Vendredi;Septembre;S37;2023;2023-Sem37;2023 - T3
16/09/2023;20230916;Samedi;Septembre;S37;2023;2023-Sem37;2023 - T3
17/09/2023;20230917;Dimanche;Septembre;S37;2023;2023-Sem37;2023 - T3
18/09/2023;20230918;Lundi;Septembre;S38;2023;2023-Sem38;2023 - T3
19/09/2023;20230919;Mardi;Septembre;S38;2023;2023-Sem38;2023 - T3
20/09/2023;20230920;Mercredi;Septembre;S38;2023;2023-Sem38;2023 - T3
21/09/2023;20230921;Jeudi;Septembre;S38;2023;2023-Sem38;2023 - T3
22/09/2023;20230922;Vendredi;Septembre;S38;2023;2023-Sem38;2023 - T3
23/09/2023;20230923;Samedi;Septembre;S38;2023;2023-Sem38;2023 - T3
24/09/2023;20230924;Dimanche;Septembre;S38;2023;2023-Sem38;2023 - T3
25/09/2023;20230925;Lundi;Septembre;S39;2023;2023-Sem39;2023 - T3
26/09/2023;20230926;Mardi;Septembre;S39;2023;2023-Sem39;2023 - T3
27/09/2023;20230927;Mercredi;Septembre;S39;2023;2023-Sem39;2023 - T3
28/09/2023;20230928;Jeudi;Septembre;S39;2023;2023-Sem39;2023 - T3
29/09/2023;20230929;Vendredi;Septembre;S39;2023;2023-Sem39;2023 - T3
30/09/2023;20230930;Samedi;Septembre;S39;2023;2023-Sem39;2023 - T3
01/10/2023;20231001;Dimanche;Octobre;S39;2023;2023-Sem39;2023 - T4
02/10/2023;20231002;Lundi;Octobre;S40;2023;2023-Sem40;2023 - T4
03/10/2023;20231003;Mardi;Octobre;S40;2023;2023-Sem40;2023 - T4
04/10/2023;20231004;Mercredi;Octobre;S40;2023;2023-Sem40;2023 - T4
05/10/2023;20231005;Jeudi;Octobre;S40;2023;2023-Sem40;2023 - T4
06/10/2023;20231006;Vendredi;Octobre;S40;2023;2023-Sem40;2023 - T4
07/10/2023;20231007;Samedi;Octobre;S40;2023;2023-Sem40;2023 - T4
08/10/2023;20231008;Dimanche;Octobre;S40;2023;2023-Sem40;2023 - T4
09/10/2023;20231009;Lundi;Octobre;S41;2023;2023-Sem41;2023 - T4
10/10/2023;20231010;Mardi;Octobre;S41;2023;2023-Sem41;2023 - T4
11/10/2023;20231011;Mercredi;Octobre;S41;2023;2023-Sem41;2023 - T4
12/10/2023;20231012;Jeudi;Octobre;S41;2023;2023-Sem41;2023 - T4
13/10/2023;20231013;Vendredi;Octobre;S41;2023;2023-Sem41;2023 - T4
14/10/2023;20231014;Samedi;Octobre;S41;2023;2023-Sem41;2023 - T4
15/10/2023;20231015;Dimanche;Octobre;S41;2023;2023-Sem41;2023 - T4
16/10/2023;20231016;Lundi;Octobre;S42;2023;2023-Sem42;2023 - T4
17/10/2023;20231017;Mardi;Octobre;S42;2023;2023-Sem42;2023 - T4
18/10/2023;20231018;Mercredi;Octobre;S42;2023;2023-Sem42;2023 - T4
19/10/2023;20231019;Jeudi;Octobre;S42;2023;2023-Sem42;2023 - T4
20/10/2023;20231020;Vendredi;Octobre;S42;2023;2023-Sem42;2023 - T4
21/10/2023;20231021;Samedi;Octobre;S42;2023;2023-Sem42;2023 - T4
22/10/2023;20231022;Dimanche;Octobre;S42;2023;2023-Sem42;2023 - T4
23/10/2023;20231023;Lundi;Octobre;S43;2023;2023-Sem43;2023 - T4
24/10/2023;20231024;Mardi;Octobre;S43;2023;2023-Sem43;2023 - T4
25/10/2023;20231025;Mercredi;Octobre;S43;2023;2023-Sem43;2023 - T4
26/10/2023;20231026;Jeudi;Octobre;S43;2023;2023-Sem43;2023 - T4
27/10/2023;20231027;Vendredi;Octobre;S43;2023;2023-Sem43;2023 - T4
28/10/2023;20231028;Samedi;Octobre;S43;2023;2023-Sem43;2023 - T4
29/10/2023;20231029;Dimanche;Octobre;S43;2023;2023-Sem43;2023 - T4
30/10/2023;20231030;Lundi;Octobre;S44;2023;2023-Sem44;2023 - T4
31/10/2023;20231031;Mardi;Octobre;S44;2023;2023-Sem44;2023 - T4
01/11/2023;20231101;Mercredi;Novembre;S44;2023;2023-Sem44;2023 - T4
02/11/2023;20231102;Jeudi;Novembre;S44;2023;2023-Sem44;2023 - T4
03/11/2023;20231103;Vendredi;Novembre;S44;2023;2023-Sem44;2023 - T4
04/11/2023;20231104;Samedi;Novembre;S44;2023;2023-Sem44;2023 - T4
05/11/2023;20231105;Dimanche;Novembre;S44;2023;2023-Sem44;2023 - T4
06/11/2023;20231106;Lundi;Novembre;S45;2023;2023-Sem45;2023 - T4
07/11/2023;20231107;Mardi;Novembre;S45;2023;2023-Sem45;2023 - T4
08/11/2023;20231108;Mercredi;Novembre;S45;2023;2023-Sem45;2023 - T4
09/11/2023;20231109;Jeudi;Novembre;S45;2023;2023-Sem45;2023 - T4
10/11/2023;20231110;Vendredi;Novembre;S45;2023;2023-Sem45;2023 - T4
11/11/2023;20231111;Samedi;Novembre;S45;2023;2023-Sem45;2023 - T4
12/11/2023;20231112;Dimanche;Novembre;S45;2023;2023-Sem45;2023 - T4
13/11/2023;20231113;Lundi;Novembre;S46;2023;2023-Sem46;2023 - T4
14/11/2023;20231114;Mardi;Novembre;S46;2023;2023-Sem46;2023 - T4
15/11/2023;20231115;Mercredi;Novembre;S46;2023;2023-Sem46;2023 - T4
16/11/2023;20231116;Jeudi;Novembre;S46;2023;2023-Sem46;2023 - T4
17/11/2023;20231117;Vendredi;Novembre;S46;2023;2023-Sem46;2023 - T4
18/11/2023;20231118;Samedi;Novembre;S46;2023;2023-Sem46;2023 - T4
19/11/2023;20231119;Dimanche;Novembre;S46;2023;2023-Sem46;2023 - T4
20/11/2023;20231120;Lundi;Novembre;S47;2023;2023-Sem47;2023 - T4
21/11/2023;20231121;Mardi;Novembre;S47;2023;2023-Sem47;2023 - T4
22/11/2023;20231122;Mercredi;Novembre;S47;2023;2023-Sem47;2023 - T4
23/11/2023;20231123;Jeudi;Novembre;S47;2023;2023-Sem47;2023 - T4
24/11/2023;20231124;Vendredi;Novembre;S47;2023;2023-Sem47;2023 - T4
25/11/2023;20231125;Samedi;Novembre;S47;2023;2023-Sem47;2023 - T4
26/11/2023;20231126;Dimanche;Novembre;S47;2023;2023-Sem47;2023 - T4
27/11/2023;20231127;Lundi;Novembre;S48;2023;2023-Sem48;2023 - T4
28/11/2023;20231128;Mardi;Novembre;S48;2023;2023-Sem48;2023 - T4
29/11/2023;20231129;Mercredi;Novembre;S48;2023;2023-Sem48;2023 - T4
30/11/2023;20231130;Jeudi;Novembre;S48;2023;2023-Sem48;2023 - T4
01/12/2023;20231201;Vendredi;Décembre;S48;2023;2023-Sem48;2023 - T4
02/12/2023;20231202;Samedi;Décembre;S48;2023;2023-Sem48;2023 - T4
03/12/2023;20231203;Dimanche;Décembre;S48;2023;2023-Sem48;2023 - T4
04/12/2023;20231204;Lundi;Décembre;S49;2023;2023-Sem49;2023 - T4
05/12/2023;20231205;Mardi;Décembre;S49;2023;2023-Sem49;2023 - T4
06/12/2023;20231206;Mercredi;Décembre;S49;2023;2023-Sem49;2023 - T4
07/12/2023;20231207;Jeudi;Décembre;S49;2023;2023-Sem49;2023 - T4
08/12/2023;20231208;Vendredi;Décembre;S49;2023;2023-Sem49;2023 - T4
09/12/2023;20231209;Samedi;Décembre;S49;2023;2023-Sem49;2023 - T4
10/12/2023;20231210;Dimanche;Décembre;S49;2023;2023-Sem49;2023 - T4
11/12/2023;20231211;Lundi;Décembre;S50;2023;2023-Sem50;2023 - T4
12/12/2023;20231212;Mardi;Décembre;S50;2023;2023-Sem50;2023 - T4
13/12/2023;20231213;Mercredi;Décembre;S50;2023;2023-Sem50;2023 - T4
14/12/2023;20231214;Jeudi;Décembre;S50;2023;2023-Sem50;2023 - T4
15/12/2023;20231215;Vendredi;Décembre;S50;2023;2023-Sem50;2023 - T4
16/12/2023;20231216;Samedi;Décembre;S50;2023;2023-Sem50;2023 - T4
17/12/2023;20231217;Dimanche;Décembre;S50;2023;2023-Sem50;2023 - T4
18/12/2023;20231218;Lundi;Décembre;S51;2023;2023-Sem51;2023 - T4
19/12/2023;20231219;Mardi;Décembre;S51;2023;2023-Sem51;2023 - T4
20/12/2023;20231220;Mercredi;Décembre;S51;2023;2023-Sem51;2023 - T4
21/12/2023;20231221;Jeudi;Décembre;S51;2023;2023-Sem51;2023 - T4
22/12/2023;20231222;Vendredi;Décembre;S51;2023;2023-Sem51;2023 - T4
23/12/2023;20231223;Samedi;Décembre;S51;2023;2023-Sem51;2023 - T4
24/12/2023;20231224;Dimanche;Décembre;S51;2023;2023-Sem51;2023 - T4
25/12/2023;20231225;Lundi;Décembre;S52;2023;2023-Sem52;2023 - T4
26/12/2023;20231226;Mardi;Décembre;S52;2023;2023-Sem52;2023 - T4
27/12/2023;20231227;Mercredi;Décembre;S52;2023;2023-Sem52;2023 - T4
28/12/2023;20231228;Jeudi;Décembre;S52;2023;2023-Sem52;2023 - T4
29/12/2023;20231229;Vendredi;Décembre;S52;2023;2023-Sem52;2023 - T4
30/12/2023;20231230;Samedi;Décembre;S52;2023;2023-Sem52;2023 - T4
31/12/2023;20231231;Dimanche;Décembre;S52;2023;2023-Sem52;2023 - T4
01/01/2024;20240101;Lundi;Janvier;S01;2024;2024-Sem01;2024 - T1
02/01/2024;20240102;Mardi;Janvier;S01;2024;2024-Sem01;2024 - T1
03/01/2024;20240103;Mercredi;Janvier;S01;2024;2024-Sem01;2024 - T1
04/01/2024;20240104;Jeudi;Janvier;S01;2024;2024-Sem01;2024 - T1
05/01/2024;20240105;Vendredi;Janvier;S01;2024;2024-Sem01;2024 - T1
06/01/2024;20240106;Samedi;Janvier;S01;2024;2024-Sem01;2024 - T1
07/01/2024;20240107;Dimanche;Janvier;S01;2024;2024-Sem01;2024 - T1
08/01/2024;20240108;Lundi;Janvier;S02;2024;2024-Sem02;2024 - T1
09/01/2024;20240109;Mardi;Janvier;S02;2024;2024-Sem02;2024 - T1
10/01/2024;20240110;Mercredi;Janvier;S02;2024;2024-Sem02;2024 - T1
11/01/2024;20240111;Jeudi;Janvier;S02;2024;2024-Sem02;2024 - T1
12/01/2024;20240112;Vendredi;Janvier;S02;2024;2024-Sem02;2024 - T1
13/01/2024;20240113;Samedi;Janvier;S02;2024;2024-Sem02;2024 - T1
14/01/2024;20240114;Dimanche;Janvier;S02;2024;2024-Sem02;2024 - T1
15/01/2024;20240115;Lundi;Janvier;S03;2024;2024-Sem03;2024 - T1
16/01/2024;20240116;Mardi;Janvier;S03;2024;2024-Sem03;2024 - T1
17/01/2024;20240117;Mercredi;Janvier;S03;2024;2024-Sem03;2024 - T1
18/01/2024;20240118;Jeudi;Janvier;S03;2024;2024-Sem03;2024 - T1
